ID,Type,Original text
84,Speech,"Yeah man, just another slow and quiet night."
85,Speech,Just can’t seem to get enough people in this place to make it profitable.
86,Speech,"Really? Even after the quiz, the snacks and guest ales? "
87,Speech,Has it really been that quiet? 
88,Speech,Seriously? You haven’t noticed? You’re in here almost every night man!
89,Speech,"It’s not every night, I only come in on Mondays, Tuesdays and Fridays!"
90,Speech,It’s Wednesday…
91,Speech,Not my favourite show but I’ve seen worse.  Besides that’s not the point…
92,Speech,Right…
93,Speech,"Hey man, I’m not complaining, I need every penny I can get."
94,Speech,"Between you, Cliff & the two guys at the bar I am just breaking even. "
95,Speech,"And don’t get me started on Cliff, I’ve already had to throw his drunk ass out of here. He just doesn’t know when to stop. "
96,Speech,"I can’t speak for Cliff, but the guys at the bar are fine. They work at my place, and they tend to keep to themselves really. "
97,Speech,"Well, either that or they just don’t talk to me…"
98,Speech,Well as long as they don’t cause me any trouble.
99,Speech,"Anyway, what can I do for you?"
100,Speech,"Well, take care Sammy."
101,Speech,"Yeah, see you around."
102,Speech,How are things?
103,Speech,"You know, getting by as best as I can. To be honest if I keep getting nights like tonight then I’ll be forced to close this place down. "
104,Speech,Close the Copper Pot? You can’t do that; I love coming here. Where else can I go to have a quiet drink after work?
105,Speech,…literally any other bar?
106,Speech,"Oh, he’s not that bad! I have seen him in far worse states, and besides, didn’t you say you needed the customers? Cliff would give his left leg for a pint if he could."
107,Speech,Yes but I would miss your sparking personality.
108,Speech,Excuse me?
109,Speech,Nothing!
110,Speech,"Hey Sole, what can I do for you? "
111,Speech,So… is that a ‘yes’?
112,Speech,Just stick to your usual three beers Sole!
113,Speech,I have no desire to pull you out of the danger that mouth of yours gets you into.
114,Speech,"Okay, okay."
115,Speech,I suppose you’ve got a point.
116,Speech,Finally free Wifi!
117,Speech,It's just a shame the password is so long and complicated.
118,Speech,"That, along with a lot of problems around here, is Cliffs fault."
119,Speech,You wouldn't believe the kind of websites that guy browses...
120,Speech,"101 ways to get slashed, and I have tried them all."
121,Speech,"That's Sammy, the owner."
122,Speech,"He's pretty cool, I'm just not sure he likes me that much."
123,Hotspot,Mysterious Woman
124,Hotspot, 
125,Hotspot, 
126,Hotspot, 
127,Character, 
128,Hotspot, 
129,Hotspot, 
130,Character,Bio Animation
131,Hotspot, 
132,Hotspot, 
133,Hotspot, 
134,Character,Bar Bod 2
135,Character,Mysterious Woman
136,Character,Bar Bod 1
137,Character,Cliff
138,Hotspot, 
139,Hotspot, 
140,DialogueOption,How about another pint?
141,DialogueOption,Cliff has said you have cut him off?
142,DialogueOption,How’s the bar doing? 
143,DialogueOption,Bye.
144,Hotspot, 
145,Hotspot, 
146,Hotspot, 
147,Hotspot,Beer
148,Hotspot, 
149,Speech,"Damn, why is the gate locked?"
150,Speech,How am I meant to get past this?
151,Speech,Heyyy…Ermmm…youuu? Howsit goinnn?
152,Speech,All sorted! Sammy has agreed to let you back in so long as you’re not sick everywhere.
153,Speech,"Me?? Siiickk?? Pfft, I got a stommach of steeell! hic Aaand I had like…the biiiigest curry earlierr, sooo we’re alll goooood!. "
154,Speech,Hey Cliff.
155,Speech,Hey…Jake?
156,Speech,"Not even close Cliff, man you must have gone hard tonight."
157,Speech,Now yoh soun' like shammy... when did 10 beers become 'too much'????
158,Speech,"I heard it was around the early 2020's. About the same time people started to get upset with words. Anyway, if you don’t mind?"
159,Speech,"Ohhh I can’t... if I move, even jusssst a little bit, I think I’m gonna throw uppppp.."
160,Speech,"Oh, come on, I need to get back there, can’t you just slouch elsewhere?"
161,Speech,"…I mean... I would, but Sammyyy has cut me offff, no way he’s giving me another drinkkkk."
162,Speech,"I wonder why. Leave it with me, I’ll see what I can do."
163,Speech,"Ohhhh thanks Craig, you’re a swweeeelll guyyyyy!"
164,Speech,"Again, I am not proud, but needs must, and wouldn’t you have done the same? "
165,Speech,"Hey man, have you shmoothed things over with Shammy yet?"
166,Speech,"Not yet, but hang in there."
167,Speech,"Ah, thanks man, you are my best friend!"
168,Speech,Yeah...Sure...
169,Speech,"No way, I can’t do it!"
170,Speech,Not even for another beer?
171,Speech,Jake? Craig? Seriously do I look like a bearded bald guy who has a love for Lego and Dungeons & Dragons? 
172,Speech,"Anyway, Sammy is the man to convince and convince him I will! Nothing is stopping me from getting to that alley! Though I’m not proud of how I went about it."
173,Speech,No? Just me?
174,Speech,"Great. But Cliff has finally gone, which mean I can go meet my mystery woman!"
175,Speech,See ya Cujo! 
176,Speech,You know what...maybe not...
177,Speech,"The copper pot, my second favourite place on Earth... after my bed of course."
178,Speech,Finally!
179,Speech,Now where did that mutt come from?
180,Speech,Also... that is a mean looking dog!
181,Speech,I'm glad I have absolutely no need to interact with it at all.
182,Speech,That’s Cliff. Every town has its own drunk; we have Cliff. 
183,Speech,Caffiends coffee. Fiends on the cost but can't get through the day without it. 
184,Speech,It's a bench.
185,Speech,What more do you want?.
186,Speech,"She said to meet in the alley behind the bar so that is where I am going, or at least I thought I was. As soon as I stepped out into the street I could see that my destination was blocked. Seriously? Is this some sort of adventure game?"
187,Speech,What?
188,Speech,You want me to pet that savage looking monster?
189,Speech,Not a chance pal.
190,Speech,Exchange in Confidence.
191,Speech,The lights tell a different story.
192,Speech,It looks like a stick or a little branch.
193,Speech,The stick would snap. I need to find something stronger.
194,Hotspot, 
195,Hotspot, 
196,Hotspot, 
197,Character, 
198,Hotspot, 
199,Character,Bio Animation
200,Character,Cliff
201,Character, 
202,Hotspot, 
203,Hotspot, 
204,Hotspot, 
205,Hotspot, 
206,Hotspot, 
207,Hotspot, 
208,Hotspot, 
209,Hotspot, 
210,Speech,Yeah of course you’re in the red…
211,Speech,Wait... did you just say Wang?
212,Speech,What the hell! How did you do that? 
213,Speech,"Listen, my name is Harper. This unit above is a Wormhole Astro Navigation Guide, WANG for short, and were here to rescue you."
214,Speech,Rescue me? What are you talking about? Look I am really confused so you need to explain what’s going on here? Quickly.
215,Speech,"Ok, you want the short version?"
216,Speech,Yes!
217,Speech,We are not from your universe.
218,Hotspot,Sammy
219,Speech,"Seriously, why does he sound like a butler?"
220,Speech,That’s your go to question after everything I’ve just said? 
221,Speech,Really? 
222,Speech,"Hey, what took you so long?"
223,Speech,"Oh, yeah I’m so sorry. Cliff was blocking the way. He has a real drink problem, poor guy. He said he wouldn’t move unless he could get another beer. "
224,Speech,Ohhh thaaank youuu Sammmyyy! An' tha guy…in the red jackett…thankkk youuu….ermm…..maaaan!
225,Speech,God dammit! R SOLE!!!
226,Speech,"Well, that’s just bad timing. So much for my favourite local…"
227,Speech,Anyway... I’m not sure what’s going on here or what the arrangement is but I think it’s only fair to explain that I’m pretty much broke and may not be the easy mark you’re looking for..?
228,Speech,What the hell does that mean!?! What do you take me for!?!
229,Speech,Hey I’m not the one inviting some random stranger to a dark alley dressed like I’m auditioning for America’s Next Top Hooker!
230,Speech,"Wait, dressed like wh…Oh, I’m still in the red dress aren’t I?"
231,Speech,"Ah, much better! Seriously how do woman, I mean, people, wear that kind of clothing in this reality? "
232,Speech,….Wow that was short.
233,Speech,And ridiculous.
234,Speech,Am I hallucinating? Have you drugged me?
235,Speech,"Sir, Agent Harper is telling you the truth, I would advise to listen to her."
236,Speech,"Woah, theses drones are becoming so advanced, now they have speakers too?"
237,Speech,"I apologise sir, but I am not a drone. "
238,Speech,Why does he sound so British? Is that a Butler? Have you got your Butler to control him?
239,Speech, I would listen to Agent Harper sir.
240,Speech,'Agent' Harper? Sure thing ‘Wadsworth’. 
241,Speech,"Will you shut up and listen, we don’t have much time. We are from a parallel universe; Wang units like this are used to open wormhole passages to alternative realities."
242,Speech,I used this one to travel across the multiverse to get here. We came here for you.
243,Speech,"What do you mean, alternative realities? "
244,Speech,"The multiverse is an infinite web of connected universes, all similar and yet, different. They run almost parallel, but things happen differently in each one."
245,Speech,Differently how?
246,Speech,"Each decision we make creates ripples of alternative realities. For instance, I came from my universe here, to yours, and I can see many differences."
247,Speech,Like what?
248,Speech,"Clothes, politics, lots of stuff. I mean, do you remember that orange game show host being President? "
249,Speech,"Ok, this is a lot for me to take in. Alternative realities, talking robots, multiverse! But there is one thing I need to know."
250,Speech,"Sure, what is it?"
251,Speech,Ok...
252,Speech,"Ok, I’ll bite, why do I need “rescuing”? "
253,Speech,"As far as we know, the multiverse is in danger, and we think you may be the key to saving it."
254,Speech,"Ok, storytelling isn’t your strong suit but B+ for effort, so if you are done, I’m heading back in before they call last orders. "
255,Speech,"Wang, get his attention."
256,Speech,"Ahh, What the hell was that? Are you crazy?"
257,Speech,"No, I'm just a woman who is losing her patience. I don’t have time for this. "
258,Speech,"I’m real, he’s real, and we aren’t lying to you. You are in danger. As we speak an evil madman who calls himself Masterstroke is on his way here to kill you."
259,Speech,Kill me? What for? What did I do?
260,Speech,"It’s not about what you have done, it’s about who you are. You are an R Sole. "
261,Speech,Besides having actually met you for a few minutes I can already think of few reasons people would want you dead...
262,Speech,"Anyway… Masterstroke is travelling to every reality destroying every version of you he can find, and every time he succeeds, the mesh that holds all of reality together breaks down bit by bit"
263,Speech,I'm part of a group trying to stop that. Trying to save as many of you as possible while we figure what the hell is going on.
264,Speech,"So, if you want to live, you need to listen to me."
265,Speech,"I think if you’re looking for Sarah Connor, she’s in the next alley…"
266,Speech,What?
267,Speech,"Nothing, look, this is beyond stupid, what did you say your name was again? Harper or Miss Exposition? This is ridiculous, and FYI, as a rule, the only person I 'have' to listen to... is me!"
268,Speech,"You know, I am glad you said that."
269,Speech,"Wang, play mesage."
270,Speech,"Listen up, if you're hearing this message, it's crucial you pay attention so for once will you shut up!"
271,Speech,Wow. Rude.
272,Speech,Don’t you mean my world?
273,Speech,Seriously?
274,Speech,I’m just saying.
275,Speech,Forgive me for interupting but I believe this message needs to be heard. 
276,Speech,"Right, if you insist ‘Jeeves’…"
277,Speech,"Like Haper has told you, Masterstroke is hunting down every R Sole in every universe, and you're next on his hitlist."
278,Speech,"To stay alive and save the multiverse, you need to follow Harper's instructions. She knows what she's doing, I trust her and so should you."
279,Speech,"I know you have a million questions, I would too, but they'll all be answered once we get you to a secure location. "
280,Speech,R Sole signing off.
281,Speech,Welcome to my world.
282,Speech,Well... that was unexpected...
283,Speech,At least there's a version of me somewhere doing OK for himself...
284,Speech,...cool beard...
285,Speech,"Wang is our ticket to safety; so, we can use him to escape."
286,Speech,"…No, I’m still not buying this, this is just insane. . I have clearly had too much to drink."
287,Speech,"So, with all due respect I'm going to leave you with your floating tin butler and mental delusions and I’m get the hell out of here."
288,Speech,Look you can’t….
289,Speech,"What's that noise? It's not a good noise, is it?"
290,Speech,"Wang, report!"
291,Speech,I am sorry ma'am. Someone is trying to access my mainframe.
292,Speech,Who is it? Is it Masterstroke?
293,Speech,"I’m afraid not, it's someone else. A signal f*o* a di*****nt un*er*e."
294,Speech,"Wang, are you ok?"
295,Speech,"Co........ S**e, h…ha….taken…….. "
296,Speech,Wang?
297,Speech,Wang! Wait! Stop!
298,Speech,"Well, just another day in the multiverse, I guess..."
299,Speech,All things considered... I think that went... well?
300,Speech,"But now, with all due respect to the multiverse, I think it's only fair to say..."
301,Speech,Look we haven’t got time for this so if there is anything else?
302,Speech,"I spoke with him for a while and I think I finally go through to him, you know? I don’t see him needing a drink anytime soon. Helping people is what I do."
303,Speech,Damn it. Wang could you do something about this?
304,Speech,What the fu...
305,Speech,Faced with the option of truth or lies I did what anyone would do in the same situation.
306,Speech,Hey!
307,Speech,"Okay. Sorry about the subterfuge and the holo-dress, but I needed to get you out of that bar."
308,Speech,What? Please tell me you're joking...
309,Speech,"...if you want. Anyway, moving on."
310,Speech,Screw this. I'm going to bed....
311,Hotspot,R Sole (Hologram)
312,Hotspot,W.A.N.G
313,DialogueOption,Try to impress her!
314,Hotspot,Agent Harper
315,DialogueOption,Different universe?
316,DialogueOption,W.A.N.G?
317,DialogueOption,Why me?
318,Hotspot,Mysterious Woman
319,Hotspot,Cliff Cheeseman
320,Character,W.A.N.G
321,Character,Cliff
322,Character,Mysterious Woman
323,Character,Harper
324,Character,Alternative R Sole
325,Speech,"Ah, The Demon Fur Baby, because clearly, what every child needs is a toy that looks like it crawled out of a cursed antique shop."
326,Hotspot,Space for Spoon Blade
327,Speech,My amazing Spoon Blade!
328,Speech,I'm not taking all my collectables. Are you crazy? 
329,Speech,I would rather not go back to that shop. Besides I have what i need now!
330,Speech,"My Demon Fur baby! I'll keep it with me, just in case."
331,Speech,I'm not taking all my collectables. Are you crazy? 
332,Speech,I would rather not go back to that shop. Besides I have what i need now!
333,Hotspot,Space for Demon Fur Baby
334,Speech,"Ah, My Knitting Almanac. because if you're going to exploit time travel..."
335,Speech,Why not dominate the underground black market of 1970s crochet competitions?
336,Speech,"My Almanac! I'll keep it with me, just in case. "
337,Speech,I'm not taking all my collectables. Are you crazy? 
338,Speech,I would rather not go back to that shop. Besides I have what i need now!
339,Hotspot,Space for Almanac
340,Speech,My Spoon-Blade from 'Finally Fantastic XXV'. Perfect for those intense moments.
341,Speech,Like when you're battling a deranged Sorceress but you also need to stir your ramen.
342,Speech,And there are my books. All neatly displayed.
343,Speech,I used to read a lot when I was growing up.
344,Speech,I don't seem to find the time anymore though.
345,Speech,Could my keys be here?
346,Speech,I'll admit I'm not the greatest cook in the world. far from it.
347,Speech,But even Jamie Ramsey would struggle to whip up a masterpiece on this piece of crap.
348,Speech,That's why I have so many loyalty points on the 'Just Nosh It' app.
349,Hotspot,Demon Fur Baby
350,Speech,Where I hang my huge collection of two jackets. I may buy a hat though.
351,Speech,"Ah, some mints!. Tiny, unbranded white capsules... they look a lot like any other tablet or pill."
352,Speech,What have I got... in my pocket?
353,Speech,"Oh just a box of mints, can't say I need those right now."
354,Speech,"Well look at that, virtually all of my clothes. They will, at some point, need washing."
355,Speech,Could my keys be here?
356,Hotspot,Insultor Glove
357,Speech,A full sink of pots and pans ready to wash.
358,Speech,"Plus of course plates, bowls and cutlery."
359,Speech,"Yeah, I reckon that can wait at least another day."
360,Speech,Prime-lock! King of the Adapto-Droids!
361,Speech,"There it is, that's odd, i have never lost my phone before? Hmm..."
362,Speech,"My mail box keys. Not like I need them, I never get mail, apart from bills."
363,Speech,"Ah my bed. No point making it if I'm going to get back in, right?"
364,Hotspot,Almanac
365,Speech,That's my nine year old TV and media player.
366,Speech,The screen has 39 dead pixels and the media player struggles with most discs.
367,Speech,I still consider it one of my best friends though.
368,Speech,Oh my God! That crazy woman and the weird robot really happened? Didn’t it?
369,Speech,Or did it? 
370,Speech,If it did... then maybe I’m not so insignificant after all...
371,Speech,I need to check that alley. Just to make sure I’m not going crazy.
372,Hotspot,Space for Demon Fur Baby
373,Hotspot,Space for Prime Lock
374,Hotspot,Space for Spoon Blade
375,Hotspot,Space for Almanac
376,Hotspot,Space for Almanac
377,Speech,The view from my window. Hardly what I would call picturesque...
378,Speech,Possibly the loudest extractor fan in the known universe.
379,Speech,I've seen buildings demolished that don't sound as loud.
380,Speech,The easiest way to reduce the noise is simply not cooking.
381,Speech,"Ah, just what I need."
382,Speech,My Insultor Omni Glove. Took me years to save for this.
383,Speech,"My Insultor-Omni Glove! I'll keep it with me, just in case. "
384,Speech,I'm not taking all my collectables. Are you crazy? 
385,Speech,I would rather not go back to that shop. Besides I have what i need now!
386,Hotspot,Space for Insultor Glove
387,Speech,"Man, how much did I drink last night?"
388,Speech,My head feels like a steel drum at a Voodoo funeral...
389,Speech,"Hang on? Something happened last night, didn’t it? Something important... "
390,Speech,Ahh I’m struggling to remember...
391,Speech,I need to piece it all back together...
392,Hotspot,Space for Demon Fur Baby
393,Hotspot,Space for Prime Lock
394,Hotspot,Space for Spoon Blade
395,Hotspot,Space for Almanac
396,Hotspot,Space for Glove
397,Speech,"Prime-Lock! I'll keep it with me, just in case. "
398,Speech,I'm not taking all my collectables. Are you crazy? 
399,Speech,I would rather not go back to that shop. Besides I have what i need now!
400,Hotspot,Space for Prime-Lock
401,Speech,"There it is, very odd, I have never lost my phone before? Hmmm..."
402,Speech,They say all life on Earth requires one fundamental basic.
403,Speech,Water.
404,Speech,However I'd like to add that the water needs to be boiled and infused with coffee.
405,Speech,Lots of coffee.
406,Hotspot,Prime-Lock
407,Speech,Just an empty key bowl.
408,Speech,Just an empty key bowl.
409,Speech,Wait...Where are my keys?
410,Speech,I obviously had them last night otherwise how did i get in!
411,Speech,They must be around here somewhere. 
412,Speech,"The Robo-Junkyard Collection, part One."
413,Speech,I was going to collect them all but they put the price up after the introductory issue...
414,Speech,I wonder if anyone ever bought issue 2? Probably not.
415,Speech,Not the most comfortable and definitely not the most stylish.
416,Speech,However that sofa and I have had some good times in the past.
417,Speech,Even if I usually have to fly solo.
418,Hotspot,Spoon Blade
419,Hotspot, 
420,Hotspot, 
421,Character,Bio Animation
422,Hotspot, 
423,Hotspot, 
424,Hotspot, 
425,Hotspot, 
426,Hotspot, 
427,Hotspot, 
428,Hotspot, 
429,Hotspot, 
430,Hotspot, 
431,Hotspot, 
432,Hotspot, 
433,Hotspot, 
434,Hotspot, 
435,Hotspot, 
436,Hotspot, 
437,Hotspot, 
438,Hotspot, 
439,Hotspot, 
440,Hotspot, 
441,Hotspot, 
442,Hotspot, 
443,Speech,"Hey, this is an active crime scene. Move it along!"
444,Speech,Are you crazy?
445,Speech,"I don't see any possible future where I would ever want, or need to go into that jerks apartment."
446,Speech,I can barely stand the smell coming out of there when I pass the door in the hall...
447,Speech,"So it's a big, fat 'NO' from me."
448,Speech,"Well, big brother is watching. Great."
449,Speech,"Considering there are only 3 of us living here, where did all this crap come from?"
450,Speech,That's the Landlords mailbox. 
451,Speech,He checks it every couple of hours for some reason.
452,Speech,My theory is that the stuff he recieves is so twisted that he has to get and hide it in his aprtment before any of us see it!
453,Speech,Weirdo.
454,Speech,"Perfect, just what i needed."
455,Speech,"Hey Mr D, Can you believe that my key has broken in the mailbox again!"
456,Speech,"Dammit, I suppose I'll call maintenance again, you clumsy idiot!"
457,Speech,Now's my chance to get that lens!
458,Speech,I don't have time to check my mail.
459,Speech,"Well, this is my mail box. Now what?"
460,Speech,Company Moto: Safety First.
461,Speech,Last Inspection: 2010...
462,Speech,Sounds about right for this dump.
463,Speech,"Hey, sorry to bother you, but the landlord is really not happy with the noise."
464,Speech,He's talking about eviction. I'd give him a call if I were you.
465,Speech,"Pfft, who could that be?"
466,Speech,Who is it??
467,Speech,It’s R.Sole.
468,Speech,Oh great.
469,Speech,Not only are you breaking my stuff you’re now disturbing me at home!
470,Speech,Unless you’re here to pay your rent you can get lost!
471,Speech,Jerkoff.
472,Speech,What a wonderful human being. I’m sure the Nobel people will be in touch any day soon…
473,Speech,Your conscience.
474,Speech,"Oh yeah, the code is [var:47][var:48][var:49][var:50] "
475,Speech,What? My conscience who?
476,Speech,Only kidding! We all know you evicted your conscience years ago!
477,Speech,Damn kids! Stop banging on my door and get a job!
478,Speech,"Haha. Yeah, I know it didn’t help in any way but I just couldn’t stop myself."
479,Speech,Rent Resistance is Futile.
480,Speech,Ah perfect. You need to fix that mailbox quickly.
481,Speech,If you try to overcharge me I’ll know!
482,Speech,Now get on with it.
483,Speech,Ahem. The padlock?
484,Speech,It’s the repair guy about your mailbox.
485,Speech,"About time! Well, get on with it then!"
486,Speech,Just going to need to get into your cleaning cupboard for the… stuff?
487,Speech,"Ahh again? Ok, what’s the code phrase?"
488,Speech,The… code phrase?
489,Speech,"Yeah, my security code phrase. The one I use with all you contractors and purchases."
490,Speech,Ah. Ok. Well…
491,Speech,No! That’s not it. 
492,Speech,You’re a scammer! I knew it!
493,Speech,You get out of here before I open that door and shove this TV remote someplace it can’t change a channel!
494,Speech,Yikes. Well i've got to go...Bye!
495,Speech,Thanks…
496,Speech,Another day… another con!
497,Speech,"Mr Ditkovich, the landlord."
498,Speech,Though we all call him Dick-o-Witch...Well I do anyway...
499,Speech,And here is my apartment building.
500,Speech,"Squalid, dirty, over-priced and designed by someone who usually builds prisons."
501,Speech,And those are just the positives.
502,Speech,"I always thought I’d have moved on to something better by now, but I never seem to be able to break away."
503,Speech,"I haven't seen you around here before. If you going to see that R Sole upstairs don't bother, he won't be living here much longer!"
504,Speech,Hey Mr D.
505,Speech,"Unless you’re here to pay the rent you owe, go and earn some money!"
506,Speech,"Yeah, yeah. Money, I got it…"
507,Speech,"Yeah, yeah. Money, I got it…"
508,Speech,Hey Mr D. What seems to be ruining your mood today then?
509,Speech,That damn stuck-up tool in 221B never stops playing that stupid violin! I can never get a moments peace. I may have to kick him out!
510,Speech,Not that I was expecting any thanks to be fair...
511,Speech,"And not that I'm really interested, but the quest chain dictates that I need to ask you what else is souring your puss?"
512,Speech,I'm always getting complaints about that bloody mailbox. You lot just need to be careful with your keys!
513,Speech,"Yadda, yadda, yadda, mailbox. Got it."
514,Speech,So that's your noise pollution issue solved!
515,Speech,So yeah... I'm going to go now.
516,Speech,Get me my money!
517,Speech,What do you want now? Can't you see i am busy.
518,Speech,"Well to continue with the theme of this questline, even though i had to find this distraction..."
519,Speech,Sammy at the Copperpot mentioned something about throwing out this strange beer...
520,Speech,Something called Ro..Roth...Rothaus...
521,Speech,Rothaus Tannenzapfle?!?!
522,Speech,That's my drinks order! I have been waiting for this to be deliered for weeks! That idiot!
523,Speech,Well that worked! Now lets get that lens.
524,Speech,"Oh, hi Mr D. "
525,Speech,Still just standing in the hallway I see.
526,Speech,Randomly.
527,Speech,Like a weirdo…
528,Speech,Oh it’s you!
529,Speech,You’re behind on your rent R.Sole!
530,Speech,Don’t be trying to stiff me when it comes to money!
531,Speech,Oh perish the thought Mr D.
532,Speech,I wouldn’t want to jeopardise my lease in this ‘heavenly’ building after all…
533,Speech,I don’t like your tone.
534,Speech,And I don’t like your odour but what are we going to do?
535,Speech,What?
536,Speech,I said the cheque is in the mail Mr D.
537,Speech,Don’t have any time for cheques. 
538,Speech,Cash.
539,Speech,Cold hard cash is what I need!
540,Speech,Yeah… and a shower…
541,Speech,Still single I see?
542,Speech,Excuse me?
543,Speech,When I was your age I was knee deep in women.
544,Speech,They were always just throwing themselves at me!
545,Speech,Are you sure they weren’t throwing themselves into oncoming traffic just to avoid you?
546,Speech,I was quite the ladies man.
547,Speech,Still am in some parts.
548,Speech,Those are ‘parts’ I really don’t want to think about.
549,Speech,In fact I may need to take a wire brush to my brain just to scrub the images from my mind…
550,Speech,Oh yes. Quite the ladies man… adoring women everywhere.
551,Speech,Are these ‘adoring women’ in the room with us now?
552,Speech,No?
553,Speech,Didn’t think so…
554,Speech,What?
555,Speech,Wheres my...
556,Speech,It's the mailbox for the guy across the hall.
557,Speech,I've never actually met him but I've heard his violin.
558,Speech,"He seems to have a few visitors each week, I think he runs a business from there?"
559,Speech,Oh I don't know. Or care.
560,Speech,That for sale sign... is that a..?
561,Speech,Ah man... I think I was just a little sick in my mouth...
562,Speech,Let's see what nonsense is on the notice board today.
563,Speech,"The guy next door, always playing that violin. Good job he ain't half bad!"
564,Speech,Hey!
565,Speech,Stay away from my camera!
